ID,Title,Company,Location,City,Country,Category,URL
2662544,Cabin Crew Opportunities,Emirates,Emirates Group Headquarters,Dubai,United Arab Emirates,Cabin Crew,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=267&source=CareerWebsite
2662545,Cabin Services Assistant,Emirates Group,Emirates Group Headquarters,Dubai,United Arab Emirates,Cabin Crew,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=481&source=CareerWebsite
2662542,Direct Entry Captain,Emirates,,Dubai,United Arab Emirates,Pilots,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=186&source=CareerWebsite
2662538,Accelerated Command,Emirates,Emirates Group Headquarters,Dubai,United Arab Emirates,Pilots,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=3&source=CareerWebsite
2662539,First Officer,Emirates,,Dubai,United Arab Emirates,Pilots,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=5&source=CareerWebsite
2662543,Aircraft Maintenance Engineer License (AMEL) Scholarship Programme (Emiratisation),Emirates Engineering,EK Engineering Building,Dubai,United Arab Emirates,UAE Nationals,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=197&source=CareerWebsite
2662553,Senior Technical Engineer - Infrastructure Platforms Networking,Emirates Group,D & LM Building,Dubai,United Arab Emirates,Information Technology,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=19288&source=CareerWebsite
2662554,Senior Technical Engineer - Infrastructure Platforms,Emirates Group,D & LM Building,Dubai,United Arab Emirates,Information Technology,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=19289&source=CareerWebsite
2662598,Technical Product Manager - (Airline Engineer/ MRO/ Digital Aircraft).,Emirates Engineering,Emirates Group Headquarters,Dubai,United Arab Emirates,Information Technology,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24978&source=CareerWebsite
2662609,Safety Promotion and Training Specialist,Emirates Group,,Dubai,United Arab Emirates,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25112&source=CareerWebsite
2662610,Quality Assurance Coordinator,dnata Travel,,Dubai,United Arab Emirates,Commercial,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25117&source=CareerWebsite
2662625,Airport Services Agent BNE,Emirates,,Brisbane,Australia,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25176&source=CareerWebsite
2662620,Engineering Type Instructor (B1),Emirates Engineering,EK Engineering Building,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25151&source=CareerWebsite
2662621,Senior Sales Executive - Scotland,Emirates,,Glasgow,United Kingdom of Great Britain and Northern Ireland,Commercial,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25154&source=CareerWebsite
2662622,"Sales Executive - Kuala Lumpur, Malaysia",Emirates,,Kuala Lumpur,Malaysia,Commercial,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25158&source=CareerWebsite
2662623,"Senior Customer & Service Agent - Jakarta, Indonesia",Emirates,,Jakarta,Indonesia,Customer Services,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25160&source=CareerWebsite
2662624,Supervisor Airport Services - Newcastle,Emirates,,Newcastle,United Kingdom of Great Britain and Northern Ireland,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25168&source=CareerWebsite
2662579,Technical Product Owner - Baggage Management (Ground Handling),Emirates Group,,Dubai,United Arab Emirates,Information Technology,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=23945&source=CareerWebsite
2662608,Business Support Specialist,Emirates,,Dubai,United Arab Emirates,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25110&source=CareerWebsite
2662619,"Supervisor Airport Services - Bangkok, Thailand",Emirates,,Bangkok,Thailand,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25150&source=CareerWebsite
2662565,Engine Overhaul Technician - Test Cell,Emirates Engineering,Emirates Engines Maintenance Centre,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=21704&source=CareerWebsite
2662567,Engine Overhaul Engineer III - Test Cell - EEMC,Emirates Engineering,Emirates Engines Maintenance Centre,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=21802&source=CareerWebsite
2662574,Security Command Centre Manager - Emiratisation,Emirates Group Security,Group Security Building,Dubai,United Arab Emirates,UAE Nationals;Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=23647&source=CareerWebsite
2662578,Regional Product Manager - Emiratisation,Emirates Holidays,Emirates Group Headquarters,Dubai,United Arab Emirates,Commercial,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=23867&source=CareerWebsite
2662585,Junior Data Analyst,Emirates SkyCargo,,Dubai,United Arab Emirates,Commercial,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24431&source=CareerWebsite
2662617,"Station Load Master - Hanoi, Vietnam",Emirates SkyCargo,,Hanoi,Vietnam,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25143&source=CareerWebsite
2662618,Manager Marketing Strategic Planner,Emirates,Emirates Group Headquarters,Dubai,United Arab Emirates,Corporate,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25148&source=CareerWebsite
2662572,Manager dnata Operations | Emiratisation,dnata,,Dubai,United Arab Emirates,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=23440&source=CareerWebsite
2662584,Senior Data Analyst,Emirates Group,Emirates Group Headquarters,Dubai,United Arab Emirates,Corporate,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24330&source=CareerWebsite
2662591,Senior Quality Assurance Engineer,Emirates Group,Emirates Group Technology Centre,Dubai,United Arab Emirates,Information Technology,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24766&source=CareerWebsite
2662597,AGILE DELIVERY MANAGER,Emirates Engineering,Emirates Group Headquarters,Dubai,United Arab Emirates,Information Technology,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24977&source=CareerWebsite
2662600,Schedule Development & Slots Portfolio Manager,Emirates,Emirates Group Headquarters,Dubai,United Arab Emirates,Commercial,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25013&source=CareerWebsite
2662601,Network Optimisation and Schedules Integration Manager,Emirates,Emirates Group Headquarters,Dubai,United Arab Emirates,Commercial,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25014&source=CareerWebsite
2662607,Lead Aircraft Mechanic - Emiratisation,Emirates Engineering,EK Engineering Building,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25096&source=CareerWebsite
2662611,Aircraft Technician Karachi,Emirates Engineering,,Karachi,Pakistan,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25118&source=CareerWebsite
2662612,Licensed Aircraft Engineer Lahore,Emirates Engineering,,Lahore,Pakistan,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25119&source=CareerWebsite
2662613,Loadmaster - MIA,Emirates SkyCargo,,Miami,United States of America,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25124&source=CareerWebsite
2662614,Senior Cargo/Sales Reservation Agent - ORD,Emirates SkyCargo,,Chicago,United States of America,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25125&source=CareerWebsite
2662615,Cargo Assistant - Hong Kong,Emirates SkyCargo,,Hong Kong City,Hong Kong,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25133&source=CareerWebsite
2662616,"Aircraft Technician- Bangkok, Thailand",Emirates Engineering,,Bangkok,Thailand,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25136&source=CareerWebsite
2662559,Engine Overhaul Engineer III - EEMC,Emirates Engineering,Emirates Engines Maintenance Centre,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=20299&source=CareerWebsite
2662570,Aircraft Technician - MRU,Emirates Engineering,,Port Louis,Mauritius,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=22451&source=CareerWebsite
2662563,Agile Delivery Lead - Emiratisation,Emirates Group,Emirates Group Headquarters,Dubai,United Arab Emirates,UAE Nationals;Information Technology,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=20587&source=CareerWebsite
2662581,Lead Aircraft Mechanic - Base Heavy Maintenance,Emirates Engineering,,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24120&source=CareerWebsite
2662595,HR Director - dnata Netherlands,dnata,,Amsterdam,Netherlands,Corporate,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24954&source=CareerWebsite
2662602,"Data Scientist, AI Engineer - dnata Travel",dnata Travel,,Dubai,United Arab Emirates,Information Technology,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25030&source=CareerWebsite
2662603,Senior Layout Artist,Emirates,Emirates Group Headquarters,Dubai,United Arab Emirates,Corporate,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25037&source=CareerWebsite
2662604,Warranty Officer,Emirates Engineering,EK Engineering Building,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25079&source=CareerWebsite
2662571,Skills Development Partner,Emirates Group,Emirates Group Headquarters,Dubai,United Arab Emirates,Corporate,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=22922&source=CareerWebsite
2662599,"Security Manager, dnata Zanzibar",dnata,,Zanzibar,United Republic of Tanzania,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24987&source=CareerWebsite
2662588,CRM Campaigns Manager - Talent Attraction,Emirates Group,Emirates Group Headquarters,Dubai,United Arab Emirates,Corporate,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24700&source=CareerWebsite
2662592,Principal Solutions Architect - dnata,Emirates Group,Emirates Group Headquarters,Dubai,United Arab Emirates,Information Technology,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24862&source=CareerWebsite
2662606,Events Specialist,Emirates,Emirates Group Headquarters,Dubai,United Arab Emirates,Corporate,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25085&source=CareerWebsite
2662568,Workshop Maintenance Engineer I (Landing Gear Workshop),Emirates Engineering,EK Engineering Building,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=21953&source=CareerWebsite
2662589,Load Master (EK SkyCargo),Emirates SkyCargo,Dubai World Central  Al Maktoum International,Dubai,United Arab Emirates,Commercial,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24720&source=CareerWebsite
2662605,Airport Services Manager - BOS,Emirates,,Boston,United States of America,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=25084&source=CareerWebsite
2662573,Data Scientist (Emiratisation),Emirates SkyCargo,Emirates Group Headquarters,Dubai,United Arab Emirates,Commercial,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=23571&source=CareerWebsite
2662586,Procurement Manager (Aircraft),Emirates Engineering,EK Engineering Building,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24687&source=CareerWebsite
2662590,Technical Product Owner - SkyCargo,Emirates Group,Emirates Group Technology Centre,Dubai,United Arab Emirates,Information Technology,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24758&source=CareerWebsite
2662552,Engineering Type Instructor (B1) - Engine Maintenance Center,Emirates Engineering,Emirates Group Headquarters,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=18738&source=CareerWebsite
2662594,Cargo Operations Manager - UK,Emirates,,London,United Kingdom of Great Britain and Northern Ireland,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24926&source=CareerWebsite
2662596,"Sales Coordinator - Osaka, Japan",Emirates,,Osaka,Japan,Commercial,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24961&source=CareerWebsite
2662558,Aircraft Technician - Line Maintenance - Melbourne,Emirates Engineering,,Melbourne,Australia,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=19989&source=CareerWebsite
2662593,Technical Product Owner - dnata Cargo,Emirates Group,Emirates Group Headquarters,Dubai,United Arab Emirates,Information Technology,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24869&source=CareerWebsite
2662587,Senior Sales Executive - Singapore,Emirates,,Singapore,Singapore,Commercial,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24692&source=CareerWebsite
2662566,Airport Services Officer - GIG,Emirates,,Rio De Janeiro Intnl,Brazil,Airline & Airport Operations;Customer Services,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=21786&source=CareerWebsite
2662557,Aeronautical Services Specialist,Emirates Group,,Dubai,United Arab Emirates,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=19930&source=CareerWebsite
2662560,Licensed Aircraft Engineer - Line Maintenance Support,Emirates Engineering,EK Engineering Building,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=20384&source=CareerWebsite
2662569,Licensed Aircraft Engineer - Line Maintenance,Emirates Engineering,EK Engineering Building,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=22392&source=CareerWebsite
2662582,Customer Sales and Service Agent - Budapest,Emirates,,Budapest,Hungary,Customer Services,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24170&source=CareerWebsite
2662583,Aircraft Technician - Line Maintenance,Emirates Engineering,EK Engineering Building,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24188&source=CareerWebsite
2662580,Aircraft Technician - Line Maintenance Support,Emirates Engineering,EK Engineering Building,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=24082&source=CareerWebsite
2662575,Recruitment Partner (Emiratisation),Emirates Group,Emirates Group Headquarters,Dubai,United Arab Emirates,Corporate,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=23673&source=CareerWebsite
2662577,Licensed Flight Dispatcher,Emirates Group,,Dubai,United Arab Emirates,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=23798&source=CareerWebsite
2662576,Aircraft Technician - Base Maintenance,Emirates Engineering,EK Engineering Building,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=23780&source=CareerWebsite
2662561,Licensed Aircraft Engineer - Base Maintenance,Emirates Engineering,EK Engineering Building,Dubai,United Arab Emirates,Engineering,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=20426&source=CareerWebsite
2662540,Customer Service Roles,Emirates Group,Terminal 3,Dubai,United Arab Emirates,Customer Services,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=129&source=CareerWebsite
2662551,Khatwaty High School Graduates Programme - Emiratisation,Emirates Group,Emirates Group Headquarters,Dubai,United Arab Emirates,UAE Nationals,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=18631&source=CareerWebsite
2662562,Customer Sales & Service Consultant- Mumbai Contact Centre,Emirates,,Mumbai,India,Commercial,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=20546&source=CareerWebsite
2662555,Outstation Graduate Training Programme - Emiratisation,Emirates,Emirates Group Headquarters,Dubai,United Arab Emirates,UAE Nationals,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=19384&source=CareerWebsite
2662546,Synthetic Flight Examiner (Ground) Boeing,Emirates,Emirates Training College,Dubai,United Arab Emirates,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=17552&source=CareerWebsite
2662556,Synthetic Flight Examiner (Ground) Airbus,Emirates,Emirates Training College,Dubai,United Arab Emirates,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=19437&source=CareerWebsite
2662549,National Graduate Training Programme - Emiratisation,Emirates,Emirates Group Headquarters,Dubai,United Arab Emirates,UAE Nationals,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=17557&source=CareerWebsite
2662550,IT Graduate Programme - Emiratisation,Emirates Group,Emirates Group Technology Centre,Dubai,United Arab Emirates,UAE Nationals,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=17579&source=CareerWebsite
2662541,National Cadet Pilot Programme (Emiratisation),Emirates,Emirates Group Headquarters,Dubai,United Arab Emirates,Pilots;UAE Nationals,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=134&source=CareerWebsite
2662548,Synthetic Flight Instructor (Ground)- Boeing,Emirates,Emirates Training College,Dubai,United Arab Emirates,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=17554&source=CareerWebsite
2662547,Synthetic Flight Instructor (Ground) - Airbus,Emirates,Emirates Training College,Dubai,United Arab Emirates,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=17553&source=CareerWebsite
2662564,Flying Instructor - Emirates Flight Training Academy,Emirates Flight Training Academy,,Dubai,United Arab Emirates,Airline & Airport Operations,https://external.emiratesgroupcareers.com/careersmarketplace/ApplicationMethods?jobId=21009&source=CareerWebsite
